date	m0	m20	m50
20150108	111.89	111.89	111.89
20150109	112.01	112.01	112.01
20150112	109.25	109.25	109.25
20150113	110.22	110.22	110.22
20150114	109.8	109.8	109.8
20150115	106.82	106.82	106.82
20150116	105.99	105.99	105.99
20150120	108.72	108.72	108.72
20150121	109.55	109.55	109.55
20150122	112.4	112.4	112.4
20150123	112.98	112.98	112.98
20150126	113.1	113.1	113.1
20150127	109.14	109.14	109.14
20150128	115.31	115.31	115.31
20150129	118.9	118.9	118.9
20150130	117.16	117.16	117.16
20150202	118.63	118.63	118.63
20150203	118.65	118.65	118.65
20150204	119.56	119.56	119.56
20150205	119.94	113.00100000000002	119.94
20150206	118.93	113.35300000000002	118.93
20150209	119.72	113.7385	119.72
20150210	122.02	114.377	122.02
20150211	124.88	115.11000000000001	124.88
20150212	126.46	115.94300000000001	126.46
20150213	127.08	116.95599999999999	127.08
20150217	127.83	118.048	127.83
20150218	128.72	119.048	128.72
20150219	128.45	119.99299999999998	128.45
20150220	129.5	120.84799999999998	129.5
20150223	133	121.84899999999998	133
20150224	132.17	122.80249999999998	132.17
20150225	128.79	123.785	128.79
20150226	130.42	124.5405	130.42
20150227	128.46	125.01849999999999	128.46
20150302	129.09	125.61500000000001	129.09
20150303	129.36	126.15150000000001	129.36
20150304	128.54	126.646	128.54
20150305	126.41	126.9885	126.41
20150306	126.6	127.32149999999999	126.6
20150309	127.14	127.732	127.14
20150310	124.51	127.97150000000002	124.51
20150311	122.24	127.9825	122.24
20150312	124.45	127.96099999999998	124.45
20150313	123.59	127.8175	123.59
20150316	124.95	127.71099999999998	124.95
20150317	127.04	127.6715	127.04
20150318	128.47	127.65899999999999	128.47
20150319	127.5	127.6115	127.5
20150320	125.9	127.4315	121.2448
20150323	127.21	127.14200000000001	121.5512
20150324	126.69	126.86800000000001	121.84479999999998
20150325	123.38	126.59750000000001	122.12739999999998
20150326	124.24	126.2885	122.40779999999997
20150327	123.25	126.02799999999999	122.67679999999997
20150330	126.37	125.89199999999998	123.06779999999998
20150331	124.43	125.64549999999997	123.43659999999998
20150401	124.25	125.43099999999997	123.74719999999998
20150402	125.32	125.3765	124.06259999999996
20150406	127.35	125.41399999999999	124.36159999999998
