date	b0	lower	middle	upper
20150108	78.18	78.18	78.18	78.18
20150109	77.74	77.74	77.74	77.74
20150112	76.72	76.72	76.72	76.72
20150113	76.45	76.45	76.45	76.45
20150114	76.28	76.28	76.28	76.28
20150115	74.05	74.05	74.05	74.05
20150116	75.18	75.18	75.18	75.18
20150120	76.24	76.24	76.24	76.24
20150121	76.74	76.74	76.74	76.74
20150122	77.65	77.65	77.65	77.65
20150123	77.83	77.83	77.83	77.83
20150126	77.5	77.5	77.5	77.5
20150127	75.78	75.78	75.78	75.78
20150128	76.24	76.24	76.24	76.24
20150129	78	78	78	78
20150130	75.91	75.91	75.91	75.91
20150202	74.99	74.99	74.99	74.99
20150203	75.4	75.4	75.4	75.4
20150204	75.63	75.63	75.63	75.63
20150205	75.62	74.2	76.41	78.62
20150206	74.47	74.01	76.22	78.43
20150209	74.44	73.83	76.06	78.28
20150210	75.19	73.75	75.98	78.21
20150211	76.51	73.75	75.98	78.22
20150212	76.23	73.75	75.98	78.21
20150213	75.74	74.01	76.06	78.12
20150217	75.6	74.06	76.09	78.11
20150218	76.71	74.07	76.11	78.15
20150219	79.42	73.75	76.24	78.74
20150220	79.9	73.45	76.36	79.26
20150223	78.84	73.37	76.41	79.44
20150224	78.45	73.32	76.45	79.59
20150225	79.56	73.25	76.64	80.04
20150226	80.41	73.09	76.85	80.61
20150227	78.97	73.06	76.9	80.74
20150302	79.75	73.08	77.09	81.1
20150303	79.6	73.29	77.32	81.35
20150304	80.9	73.39	77.6	81.81
20150305	81.21	73.49	77.88	82.27
20150306	80	73.74	78.1	82.45
20150309	79.44	74.29	78.34	82.4
20150310	77.55	74.83	78.5	82.16
20150311	77.57	75.25	78.62	81.99
20150312	78.93	75.51	78.74	81.97
20150313	78.05	75.79	78.83	81.87
20150316	78.07	76.23	78.95	81.66
20150317	79.36	76.89	79.13	81.38
20150318	80.91	77.27	79.34	81.42
20150319	82.75	76.96	79.51	82.06
20150320	83.8	76.54	79.71	82.87
20150323	84.43	76.24	79.99	83.73
20150324	85.31	76	80.33	84.66
20150325	82.92	76.04	80.5	84.95
20150326	83.01	76.04	80.63	85.21
20150327	83.3	76.18	80.84	85.51
20150330	83.2	76.27	81.02	85.76
20150331	82.22	76.42	81.15	85.87
20150401	81.66	76.46	81.18	85.91
20150402	81.56	76.47	81.2	85.93
20150406	82.44	76.6	81.32	86.05
