date	m0	m20	m50
20150108	78.18	78.18	78.18
20150109	77.74	77.74	77.74
20150112	76.72	76.72	76.72
20150113	76.45	76.45	76.45
20150114	76.28	76.28	76.28
20150115	74.05	74.05	74.05
20150116	75.18	75.18	75.18
20150120	76.24	76.24	76.24
20150121	76.74	76.74	76.74
20150122	77.65	77.65	77.65
20150123	77.83	77.83	77.83
20150126	77.5	77.5	77.5
20150127	75.78	75.78	75.78
20150128	76.24	76.24	76.24
20150129	78	78	78
20150130	75.91	75.91	75.91
20150202	74.99	74.99	74.99
20150203	75.4	75.4	75.4
20150204	75.63	75.63	75.63
20150205	75.62	76.41	75.62
20150206	74.47	76.22	74.47
20150209	74.44	76.05	74.44
20150210	75.19	75.97	75.19
20150211	76.51	76.02	76.51
20150212	76.23	76.04	76.23
20150213	75.74	76.01	75.74
20150217	75.6	75.97	75.6
20150218	76.71	76.04	76.71
20150219	79.42	76.37	79.42
20150220	79.9	76.7	79.9
20150223	78.84	76.91	78.84
20150224	78.45	77.05	78.45
20150225	79.56	77.29	79.56
20150226	80.41	77.59	80.41
20150227	78.97	77.72	78.97
20150302	79.75	77.91	79.75
20150303	79.6	78.07	79.6
20150304	80.9	78.34	80.9
20150305	81.21	78.62	81.21
20150306	80	78.75	80
20150309	79.44	78.81	79.44
20150310	77.55	78.69	77.55
20150311	77.57	78.59	77.57
20150312	78.93	78.62	78.93
20150313	78.05	78.56	78.05
20150316	78.07	78.52	78.07
20150317	79.36	78.6	79.36
20150318	80.91	78.82	80.91
20150319	82.75	79.19	82.75
20150320	83.8	79.63	77.73
20150323	84.43	80.09	77.99
20150324	85.31	80.59	78.28
20150325	82.92	80.81	78.46
20150326	83.01	81.02	78.64
20150327	83.3	81.24	78.82
20150330	83.2	81.42	78.99
20150331	82.22	81.5	79.12
20150401	81.66	81.51	79.22
20150402	81.56	81.52	79.31
20150406	82.44	81.61	79.43
