date	m0	m20	m50
20150108	78.18	78.18	78.18
20150109	77.74	77.74	77.74
20150112	76.72	76.72	76.72
20150113	76.45	76.45	76.45
20150114	76.28	76.28	76.28
20150115	74.05	74.05	74.05
20150116	75.18	75.18	75.18
20150120	76.24	76.24	76.24
20150121	76.74	76.74	76.74
20150122	77.65	77.65	77.65
20150123	77.83	77.83	77.83
20150126	77.5	77.5	77.5
20150127	75.78	75.78	75.78
20150128	76.24	76.24	76.24
20150129	78	78	78
20150130	75.91	75.91	75.91
20150202	74.99	74.99	74.99
20150203	75.4	75.4	75.4
20150204	75.63	75.63	75.63
20150205	75.62	76.40650000000001	75.62
20150206	74.47	76.221	74.47
20150209	74.44	76.05600000000001	74.44
20150210	75.19	75.9795	75.19
20150211	76.51	75.9825	76.51
20150212	76.23	75.98	76.23
20150213	75.74	76.06450000000001	75.74
20150217	75.6	76.0855	75.6
20150218	76.71	76.10900000000001	76.71
20150219	79.42	76.24300000000001	79.42
20150220	79.9	76.3555	79.9
20150223	78.84	76.406	78.84
20150224	78.45	76.4535	78.45
20150225	79.56	76.64250000000001	79.56
20150226	80.41	76.85100000000001	80.41
20150227	78.97	76.89950000000002	78.97
20150302	79.75	77.09150000000001	79.75
20150303	79.6	77.322	79.6
20150304	80.9	77.59700000000001	80.9
20150305	81.21	77.876	81.21
20150306	80	78.095	80
20150309	79.44	78.3435	79.44
20150310	77.55	78.499	77.55
20150311	77.57	78.618	77.57
20150312	78.93	78.739	78.93
20150313	78.05	78.83	78.05
20150316	78.07	78.94649999999999	78.07
20150317	79.36	79.13449999999999	79.36
20150318	80.91	79.3445	80.91
20150319	82.75	79.511	82.75
20150320	83.8	79.70599999999999	77.72920000000002
20150323	84.43	79.98549999999999	77.85420000000002
20150324	85.31	80.32849999999999	78.00560000000002
20150325	82.92	80.4965	78.12960000000002
20150326	83.01	80.6265	78.26080000000003
20150327	83.3	80.84299999999999	78.40120000000003
20150330	83.2	81.01549999999999	78.58420000000002
20150331	82.22	81.14649999999999	78.72500000000002
20150401	81.66	81.18449999999999	78.83340000000003
20150402	81.56	81.20199999999998	78.92980000000003
20150406	82.44	81.32399999999998	79.02560000000003
