date	b0	lower	middle	upper
20150108	50.23	50.23	50.23	50.23
20150109	49.72	49.72	49.72	49.72
20150112	48.8	48.8	48.8	48.8
20150113	48.3	48.3	48.3	48.3
20150114	47.51	47.51	47.51	47.51
20150115	46.23	46.23	46.23	46.23
20150116	46.47	46.47	46.47	46.47
20150120	47.63	47.63	47.63	47.63
20150121	48.18	48.18	48.18	48.18
20150122	48.89	48.89	48.89	48.89
20150123	48.95	48.95	48.95	48.95
20150126	49.44	49.44	49.44	49.44
20150127	47.99	47.99	47.99	47.99
20150128	46.46	46.46	46.46	46.46
20150129	43.73	43.73	43.73	43.73
20150130	43.99	43.99	43.99	43.99
20150202	44.68	44.68	44.68	44.68
20150203	44.7	44.7	44.7	44.7
20150204	44.04	44.04	44.04	44.04
20150205	43.54	42.7	46.97	51.25
20150206	42.94	42.26	46.61	50.96
20150209	42.57	41.81	46.25	50.69
20150210	43.07	41.48	45.97	50.45
20150211	42.96	41.17	45.7	50.23
20150212	43.92	41	45.52	50.03
20150213	44.42	40.9	45.43	49.96
20150217	43.53	40.71	45.28	49.85
20150218	43.65	40.59	45.08	49.57
20150219	44.37	40.62	44.89	49.16
20150220	44.11	40.79	44.65	48.51
20150223	43.53	41.04	44.38	47.73
20150224	43.38	41.65	44.08	46.51
20150225	44.43	42.25	43.9	45.55
20150226	44.45	42.6	43.8	45
20150227	44.28	42.61	43.83	45.05
20150302	44.11	42.61	43.83	45.06
20150303	42.62	42.46	43.73	45
20150304	43.99	42.5	43.7	44.89
20150305	44.16	42.5	43.7	44.9
20150306	43.44	42.49	43.7	44.9
20150309	42.98	42.5	43.7	44.9
20150310	42.68	42.52	43.7	44.89
20150311	42.5	42.41	43.68	44.94
20150312	42.95	42.41	43.67	44.94
20150313	42.87	42.31	43.62	44.93
20150316	43.51	42.32	43.58	44.83
20150317	43.78	42.33	43.59	44.85
20150318	44.67	42.3	43.64	44.99
20150319	44.98	42.24	43.67	45.11
20150320	45.04	42.17	43.72	45.26
20150323	44.72	42.18	43.78	45.38
20150324	44.42	42.22	43.83	45.44
20150325	44.2	42.22	43.82	45.42
20150326	44.47	42.22	43.82	45.42
20150327	45.1	42.17	43.86	45.55
20150330	44.95	42.15	43.9	45.65
20150331	44.44	42.33	43.99	45.65
20150401	44.13	42.34	44	45.66
20150402	44.15	42.34	44	45.66
20150406	43.67	42.36	44.01	45.66
