date	m0	m20	m50
20150108	50.23	50.23	50.23
20150109	49.72	49.72	49.72
20150112	48.8	48.8	48.8
20150113	48.3	48.3	48.3
20150114	47.51	47.51	47.51
20150115	46.23	46.23	46.23
20150116	46.47	46.47	46.47
20150120	47.63	47.63	47.63
20150121	48.18	48.18	48.18
20150122	48.89	48.89	48.89
20150123	48.95	48.95	48.95
20150126	49.44	49.44	49.44
20150127	47.99	47.99	47.99
20150128	46.46	46.46	46.46
20150129	43.73	43.73	43.73
20150130	43.99	43.99	43.99
20150202	44.68	44.68	44.68
20150203	44.7	44.7	44.7
20150204	44.04	44.04	44.04
20150205	43.54	46.97	43.54
20150206	42.94	46.59	42.94
20150209	42.57	46.21	42.57
20150210	43.07	45.91	43.07
20150211	42.96	45.63	42.96
20150212	43.92	45.46	43.92
20150213	44.42	45.37	44.42
20150217	43.53	45.19	43.53
20150218	43.65	45.04	43.65
20150219	44.37	44.98	44.37
20150220	44.11	44.9	44.11
20150223	43.53	44.77	43.53
20150224	43.38	44.63	43.38
20150225	44.43	44.62	44.43
20150226	44.45	44.6	44.45
20150227	44.28	44.57	44.28
20150302	44.11	44.53	44.11
20150303	42.62	44.34	42.62
20150304	43.99	44.31	43.99
20150305	44.16	44.3	44.16
20150306	43.44	44.21	43.44
20150309	42.98	44.1	42.98
20150310	42.68	43.96	42.68
20150311	42.5	43.82	42.5
20150312	42.95	43.74	42.95
20150313	42.87	43.66	42.87
20150316	43.51	43.64	43.51
20150317	43.78	43.66	43.78
20150318	44.67	43.75	44.67
20150319	44.98	43.87	44.98
20150320	45.04	43.98	44.99
20150323	44.72	44.05	44.98
20150324	44.42	44.09	44.96
20150325	44.2	44.1	44.93
20150326	44.47	44.13	44.91
20150327	45.1	44.22	44.92
20150330	44.95	44.29	44.92
20150331	44.44	44.31	44.9
20150401	44.13	44.29	44.87
20150402	44.15	44.28	44.84
20150406	43.67	44.22	44.79
