date	close
20150108	50.23
20150109	49.72
20150112	48.8
20150113	48.3
20150114	47.51
20150115	46.23
20150116	46.47
20150120	47.63
20150121	48.18
20150122	48.89
20150123	48.95
20150126	49.44
20150127	47.99
20150128	46.46
20150129	43.73
20150130	43.99
20150202	44.68
20150203	44.7
20150204	44.04
20150205	43.54
20150206	42.94
20150209	42.57
20150210	43.07
20150211	42.96
20150212	43.92
20150213	44.42
20150217	43.53
20150218	43.65
20150219	44.37
20150220	44.11
20150223	43.53
20150224	43.38
20150225	44.43
20150226	44.45
20150227	44.28
20150302	44.11
20150303	42.62
20150304	43.99
20150305	44.16
20150306	43.44
20150309	42.98
20150310	42.68
20150311	42.5
20150312	42.95
20150313	42.87
20150316	43.51
20150317	43.78
20150318	44.67
20150319	44.98
20150320	45.04
20150323	44.72
20150324	44.42
20150325	44.2
20150326	44.47
20150327	45.1
20150330	44.95
20150331	44.44
20150401	44.13
20150402	44.15
20150406	43.67
