date	m0	m20	m50
20140414	33.44	33.44	33.44
20140415	34.21	34.21	34.21
20140416	36.35	36.35	36.35
20140417	36.38	36.38	36.38
20140421	36.4	36.4	36.4
20140422	36.14	36.14	36.14
20140423	35.44	35.44	35.44
20140424	35.24	35.24	35.24
20140425	34.48	34.48	34.48
20140428	33.99	33.99	33.99
20140429	35.83	35.83	35.83
20140430	35.95	35.95	35.95
20140501	36.51	36.51	36.51
20140502	36.87	36.87	36.87
20140505	36.91	36.91	36.91
20140506	36.49	36.49	36.49
20140507	34.07	34.07	34.07
20140508	33.92	33.92	33.92
20140509	33.76	33.76	33.76
20140512	34.45	35.3415	34.45
20140513	34.4	35.3895	34.4
20140514	34.17	35.387499999999996	34.17
20140515	33.8	35.25999999999999	33.8
20140516	33.41	35.11149999999999	33.41
20140519	33.89	34.98599999999999	33.89
20140520	33.87	34.87249999999999	33.87
20140521	34.36	34.81849999999999	34.36
20140522	34.7	34.7915	34.7
20140523	35.02	34.81849999999999	35.02
20140527	35.12	34.87499999999999	35.12
20140528	34.78	34.82249999999999	34.78
20140529	34.9	34.76999999999999	34.9
20140530	34.65	34.676999999999985	34.65
20140602	34.87	34.576999999999984	34.87
20140603	34.65	34.463999999999984	34.65
20140604	34.73	34.37599999999999	34.73
20140605	34.94	34.419499999999985	34.94
20140606	35.92	34.51949999999999	35.92
20140609	36.04	34.633499999999984	36.04
20140610	36.31	34.72649999999999	36.31
20140611	36.63	34.83799999999999	36.63
20140612	36.78	34.96849999999999	36.78
20140613	36.94	35.12549999999999	36.94
20140616	34.81	35.19549999999999	34.81
20140617	34.43	35.22249999999998	34.43
20140618	34.94	35.27599999999998	34.94
20140619	34.68	35.29199999999998	34.68
20140620	34.05	35.259499999999974	34.05
20140623	33.64	35.19049999999997	33.64
20140624	33.48	35.10849999999998	35.03480000000001
20140625	33.25	35.031999999999975	35.031000000000006
20140626	33.66	34.96999999999998	35.02000000000001
20140627	34.25	34.949999999999974	34.97800000000001
20140630	35.13	34.96299999999998	34.95300000000001
20140701	35.35	34.997999999999976	34.93200000000001
20140702	35.88	35.05549999999998	34.92680000000001
20140703	36.14	35.115499999999976	34.94080000000001
20140707	35.52	35.09549999999997	34.94640000000001
20140708	34.53	35.019999999999975	34.94740000000001
20140709	34.85	34.94699999999998	34.964600000000004
20140710	34.93	34.86199999999998	34.94660000000001
20140711	35.43	34.79449999999998	34.93620000000001
20140714	35.7	34.73249999999998	34.92000000000001
20140715	35.61	34.77249999999998	34.89480000000001
20140716	33.79	34.74049999999998	34.83240000000001
20140717	33.21	34.65399999999998	34.76680000000001
20140718	33.33	34.58649999999999	34.75200000000001
20140721	33.28	34.54799999999999	34.739200000000004
20140722	33.6	34.54599999999999	34.736000000000004
20140723	34.71	34.607499999999995	34.741200000000006
20140724	36.17	34.75349999999999	34.7766
20140725	36.12	34.87649999999999	34.815599999999996
20140728	35.9	34.95899999999999	34.857600000000005
20140729	35.68	34.98649999999999	34.903
20140730	36.6	35.04899999999999	34.9572
20140731	35.81	35.04549999999999	34.996
